name,time,fileCode,fileName,description,keywords
2024-04-24_14-36-54 area compartilhada shopping recife,2024/04/24 17:36:55+00,"090",2024-04-24_14-36-54_area_compartilhada_shopping_recife_2024-04-24_14-36-54.gpx,AC066,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-24_14-37-49 Área compartilhada E Bruno Veloso,2024/04/24 17:37:52+00,"091",2024-04-24_14-37-49_Área_compartilhada_E_Bruno_Veloso_2024-04-24_14-37-49.gpx,AC066,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-24_14-51-04 ciclofaixa Bruno Veloso,2024/04/24 17:51:07+00,"092",2024-04-24_14-51-04_ciclofaixa_Bruno_Veloso_2024-04-24_14-51-04.gpx,CF066,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-24_14-51-08 ciclofaixa shopping recife,2024/04/24 17:51:12+00,"093",2024-04-24_14-51-08_ciclofaixa_shopping_recife_2024-04-24_14-51-08.gpx,CF066,
2024-04-24_16-42-33 RUA DA AURORA,2024/04/24 19:42:37+00,"094",2024-04-24_16-42-33_RUA_DA_AURORA_2024-04-24_16-42-33.gpx,CF031,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-24_17-15-14 AV MÁRIO MELO RUA DOS PALMARES,2024/04/24 20:15:18+00,"095",2024-04-24_17-15-14_AV_MÁRIO_MELO_RUA_DOS_PALMARES_2024-04-24_17-15-14.gpx,CV027,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-24_17-35-20 AV MÁRIO MELO RUA DOS PALMARES,2024/04/24 20:35:24+00,"096",2024-04-24_17-35-20_AV_MÁRIO_MELO_RUA_DOS_PALMARES_2024-04-24_17-35-20.gpx,CV027,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-24_18-19-06 AV MÁRIO MELO RUA DOS PALMARES,2024/04/24 21:19:10+00,"097",2024-04-24_18-19-06_AV_MÁRIO_MELO_RUA_DOS_PALMARES_2024-04-24_18-19-06.gpx,CV027,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-26_17-10-50 RUA DA AURORA,2024/04/26 20:10:53+00,"098",2024-04-26_17-10-50_RUA_DA_AURORA_2024-04-26_17-10-50.gpx,CF031,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-26_18-33-46 AV JOÃO FERNANDES VIEIRA,2024/04/26 21:33:49+00,"099",2024-04-26_18-33-46_AV_JOÃO_FERNANDES_VIEIRA_2024-04-26_18-33-46.gpx,CF034,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-26_18-44-54 AV JOÃO FERNANDES VIEIRA AV OLIVEIRA LIMA E RUA DO RIACHUELO,2024/04/26 21:44:56+00,"100",2024-04-26_18-44-54_AV_JOÃO_FERNANDES_VIEIRA_AV_OLIVEIRA_LIMA_E_RUA_DO_RIACHUELO_2024-04-26_18-44-54.gpx,CF034,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-26_19-07-52 RUA DO RIACHUELO,2024/04/26 22:07:54+00,"101",2024-04-26_19-07-52_RUA_DO_RIACHUELO_2024-04-26_19-07-52.gpx,CR034,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-27_12-02-15,2024/04/27 15:02:19+00,"102",2024-04-27_12-02-15_2024-04-27_12-02-15.gpx,CF010,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-27_12-46-54,2024/04/27 15:46:57+00,"103",2024-04-27_12-46-54_2024-04-27_12-46-54.gpx,CF010,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-27_13-23-27,2024/04/27 16:23:29+00,"104",2024-04-27_13-23-27_2024-04-27_13-23-27.gpx,CR010,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-27_13-51-39,2024/04/27 16:51:42+00,"105",2024-04-27_13-51-39_2024-04-27_13-51-39.gpx,CF010,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-27_14-35-40,2024/04/27 17:35:43+00,"106",2024-04-27_14-35-40_2024-04-27_14-35-40.gpx,CF071,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-27_14-50-17,2024/04/27 17:50:20+00,"107",2024-04-27_14-50-17_2024-04-27_14-50-17.gpx,CF071,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-27_15-10-36,2024/04/27 18:10:36+00,"108",2024-04-27_15-10-36_2024-04-27_15-10-36.gpx,CF002,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-27_16-40-29,2024/04/27 19:40:32+00,"109",2024-04-27_16-40-29_2024-04-27_16-40-29.gpx,CF002,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-05-01_08-46-22,2024/05/01 11:46:25+00,"110",2024-05-01_08-46-22_2024-05-01_08-46-22.gpx,CF044,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-05-01_09-27-46,2024/05/01 12:27:48+00,"111",2024-05-01_09-27-46_2024-05-01_09-27-46.gpx,CF044,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-05-01_10-01-51,2024/05/01 13:01:56+00,"112",2024-05-01_10-01-51_2024-05-01_10-01-51.gpx,CR044,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-05-01_10-08-49,2024/05/01 13:08:51+00,"113",2024-05-01_10-08-49_2024-05-01_10-08-49.gpx,CF044,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-05-01_10-30-51,2024/05/01 13:30:53+00,"114",2024-05-01_10-30-51_2024-05-01_10-30-51.gpx,CF044,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-05-02_18-14-35,2024/05/02 21:14:37+00,"115",2024-05-02_18-14-35_2024-05-02_18-14-35.gpx,AC054,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
