code,scode,fileName,fileToMerge
165,000,2024-05-09_14-56-43_RUA_DO_HOSPÍCIO_(Percurso_ciclofaixa_Santo_Antônio)_2024-05-09_14-56-43.gpx,
166,000,2024-05-09_15-08-01_RUA_DO_HOSPÍCIO_(Percurso_ciclofaixa_Santo_Antônio)_2024-05-09_15-08-01.gpx,
167,000,2024-05-09_15-15-43_RUA_DO_HOSPÍCIO_(Percurso_ciclofaixa_Santo_Antônio)_2024-05-09_15-15-43.gpx,
168,000,2024-05-09_15-35-01_PONTE_DA_BOA_VISTA_(Percurso_ciclofaixa_Santo_Antônio)_2024-05-09_15-35-01.gpx,
169,000,2024-05-09_15-46-53_RUA_NOVA_(Percurso_ciclofaixa_Santo_Antônio)_2024-05-09_15-46-53.gpx,
170,000,2024-05-09_15-58-24_RUA_PRIMEIRO_DE_MARÇO(Percurso_ciclofaixa_Santo_Antônio)_2024-05-09_15-58-24.gpx,
171,000,2024-05-09_18-19-03_RUA_DA_SAUDADE_(CICLOROTA)_2024-05-09_18-19-03.gpx,
172,000,2024-05-09_18-23-53_RUA_DA_SAUDADE_2024-05-09_18-23-53.gpx,
174,000,2024-05-09_18-48-25_RUA_DOS_PALMARES_E_RUA_DOUTOR_CARLOS_CHAGAS_(Percurso_ciclofaixa_João_de_barros)_2024-05-09_18-48-25.gpx,
175,000,2024-05-09_18-59-25_AV_JOÃO_DE_BARROS_(Perscuso_ciclofaixa_João_de_Barros)_2024-05-09_18-59-25.gpx,
176,000,2024-05-09_19-10-49_AGAMENON_MAGALHÃES__(CICLO_NO_NÍVEL_DA_VIA)_2024-05-09_19-10-49.gpx,
177,000,2024-05-10_07-20-46_ciclovia_ponte_do_paiva_2024-05-10_07-20-46.gpx,
178,000,2024-05-10_07-32-54_ciclovia_do_paiva_2024-05-10_07-32-54.gpx,
180,000,2024-05-10_08-38-41_ciclofaixa_pe-024_itapuama_enseada_2024-05-10_08-38-41.gpx,
181,000,2024-05-10_09-45-06_ciclofaixa_av_vr._lucio_fernando_monteiro_pereira_-_sem_pintura_2024-05-10_09-45-06.gpx,
183,000,2024-05-10_11-32-35_ciclovia_academia_da_cidade_gaibu_2024-05-10_11-32-35.gpx,
184,000,2024-05-10_13-03-02_calçadao_vila_social_1_2024-05-10_13-03-02.gpx,
185,186,2024-05-10_13-20-37_calçadão_vila_social_2_2024-05-10_13-20-37.gpx,2024-05-10_13-26-21_area_compartilhada_vila_social_2024-05-10_13-26-21.gpx
187,000,2024-05-10_13-43-11_ciclovia_av_histo._pereira_da_costa_2024-05-10_13-43-11.gpx,
188,000,2024-05-10_13-53-24_ciclofaixa_av_histo_pereira_da_costa_2024-05-10_13-53-24.gpx,
189,000,2024-05-10_14-14-43_ciclofaixa_av_presidente_getulio_vargas_2024-05-10_14-14-43.gpx,
190,191,2024-05-10_14-32-34_ciclovia_pe060_2024-05-10_14-32-34.gpx,2024-05-10_14-42-29_ciclofaixa_pe060_2024-05-10_14-42-29.gpx
192,000,2024-05-10_15-33-41_2024-05-10_15-33-41.gpx,
193,000,2024-05-10_15-33-55_2024-05-10_15-33-55.gpx,
194,000,2024-05-10_16-21-27_2024-05-10_16-21-27.gpx,
195,000,2024-05-10_16-30-33_2024-05-10_16-30-33.gpx,
197,000,2024-05-10_17-20-45_2024-05-10_17-20-45.gpx,
198,000,2024-05-10_17-35-41_2024-05-10_17-35-41.gpx,
199,000,2024-05-10_18-38-45_2024-05-10_18-38-45.gpx,
200,000,2024-05-10_19-08-06_2024-05-10_19-08-06.gpx,
201,000,2024-05-10_19-18-29_2024-05-10_19-18-29.gpx,
202,000,2024-05-11_15-25-35_RUA_COMENDADOR_FRANCISCO_FERREIRA_2024-05-11_15-25-35.gpx,
203,000,"2024-05-11_15-37-48_Rua_Prof._Silvio_﻿_da_Cunha_Santos,_Av._General_San_Martin,_Av._João_﻿_Cabral_de_Melo_Neto,_Rua_Senador_Alberto_﻿Pasqualini_2024-05-11_15-37-48.gpx",
206,000,"2024-05-11_17-10-04_Rua_Visconde_de_Pelotas,_Rua_Santos_Araújo,_Rua_﻿_Quitério_Inácio_de_Mello,_Rua_Augusto_Calheiros_2024-05-11_17-10-04.gpx",
209,000,2024-05-13_11-35-17_RUA_JOSÉ_DE_ALENCAR_2024-05-13_11-35-17.gpx,
210,000,2024-05-13_11-44-36_RUA_JOSÉ_DE_ALENCAR_2024-05-13_11-44-36.gpx,
211,000,2024-05-13_12-03-00_RUA_FRANCISCO_ALVES_2024-05-13_12-03-00.gpx,
212,000,"2024-05-13_12-12-44_Praça_Miguel_de_Cervantes,_Rua_Estado_do_Israel,_Rua_Jornalista_Trajano_Chacon,_Rua_Frei_Matias_Tevis,_Rua_Senador_José_Henrique_2024-05-13_12-12-44.gpx",
213,000,2024-05-13_12-32-13_Rua_Antônio_Gomes_de_Freitas._2024-05-13_12-32-13.gpx,
214,000,2024-05-13_13-54-24_RUA_PAISSANDU_2024-05-13_13-54-24.gpx,
215,000,"2024-05-13_14-03-01Rua_Dom_Bosco,_Rua_Visconde_de_Goiana_2024-05-13_14-03-01.gpx",
216,000,"2024-05-13_14-16-30_Rua_Barão_de_São_Borja_depois_da_JOSÉ_DE_ALENCAR,_Rua_Rosário_da_Boa_Vista,_Rua_do_Aragão._2024-05-13_14-16-30.gpx",
217,000,"2024-05-13_14-32-18_até_Rua_da_Matriz,_Rua_Velha_2024-05-13_14-32-18.gpx",
218,000,2024-05-13_14-37-05_Rua_Dr._José_Mariano_2024-05-13_14-37-05.gpx,
219,000,2024-05-13_14-42-21_Rua_Dr._José_Mariano_até_a_Ponte_Duarte_Coelho._2024-05-13_14-42-21.gpx,
220,221,2024-05-14_08-59-06_ciclofaixa_nossa_sra_do_ó_2024-05-14_08-59-06.gpx,2024-05-14_09-00-02Ciclofaixa_NS_DO_Ó_2024-05-14_09-00-02.gpx
223,224,2024-05-14_10-01-15_Ciclovia_da_PE_-_09_2024-05-14_10-01-15.gpx,2024-05-14_10-01-15_ciclovia_pe009_2024-05-14_10-01-15.gpx
228,229,2024-05-14_11-52-03Ciclovia_de_Porto_de_Galinhas_2024-05-14_11-52-03.gpx,2024-05-14_11-56-00_ciclovia_porto_de_galinhas_2024-05-14_11-56-00.gpx
230,231,2024-05-14_12-20-47CICLOVIA_de_Maracaípe_2024-05-14_12-20-47.gpx,2024-05-14_12-22-14_ciclovia_de_maracaipe_2024-05-14_12-22-14.gpx
232,233,2024-05-14_13-04-28_Ciclovia_Rua_Esperança_2024-05-14_13-04-28.gpx,2024-05-14_13-04-37_ciclovia_rua_esperança_2024-05-14_13-04-37.gpx
234,000,2024-05-14_15-54-31__PRAÇA_JOAQUIM_NABUCO_E_RUA_FLORIANO_PEIXOTO_2024-05-14_15-54-31.gpx,
235,000,2024-05-14_16-04-58_Travessa_do_Cais_da_Detenção_e_Ponte_Seis_de_Março._2024-05-14_16-04-58.gpx,
236,237,2024-05-14_16-18-50_CICLOFAIXA_DA_VILA_DO_ESTALEIRO_-_AV_CALIFÓRNIA_2024-05-14_16-18-50.gpx,2024-05-14_16-19-34_ciclofaixa_vila_do_estaleiro_-_av_california_2024-05-14_16-19-34.gpx
238,000,"2024-05-14_16-20-12_PONTE_BUARQUE_DE_MACEDO,_PRAÇA_DA_REPÚBLICA_E_PONTE_PRINCESA_IZABEL_2024-05-14_16-20-12.gpx",
240,000,"2024-05-14_17-00-43_Av._Prefeito_Artur_Lima_Cavalcanti,_Av._Dr.Jayme_da_Fonte_2024-05-14_17-00-43.gpx",
241,000,2024-05-14_17-08-08_2024-05-14_17-08-08.gpx,
242,000,"2024-05-14_17-14-12_Pontilhão_da_Av._Gov._Agamenon_Magalhães,_Pista_local_da_Av._Gov._Agamenon_Magalhães_2024-05-14_17-14-12.gpx",
243,000,2024-05-14_17-16-41_2024-05-14_17-16-41.gpx,
245,000,2024-05-14_17-23-17_2024-05-14_17-23-17.gpx,
248,000,"2024-05-14_19-35-18_Rua_da_Soledade,_Rua_Nunes_Machado_e_Av._João_de_Barros_até_a_Rua_Joaquim_Felipe._2024-05-14_19-35-18.gpx",
249,000,2024-05-14_19-47-39_RUA_JOAQUIM_FELIPE_2024-05-14_19-47-39.gpx,
250,000,2024-05-14_20-02-44_LEOPOLDO_LINS_2024-05-14_20-02-44.gpx,
252,000,2024-05-14_20-14-22_Av._Montevidéu_até_Rua_Buenos_Aires._2024-05-14_20-14-22.gpx,
253,000,2024-05-14_20-32-24_MONTE_CASTELO_2024-05-14_20-32-24.gpx,
254,000,2024-05-14_20-42-30_RUA_PADRE_INGLÊS_2024-05-14_20-42-30.gpx,
256,000,2024-05-15_17-16-58_2024-05-15_17-16-58.gpx,
257,000,2024-05-15_17-24-40_2024-05-15_17-24-40.gpx,
258,000,2024-05-15_17-26-13_2024-05-15_17-26-13.gpx,
260,000,2024-05-15_18-29-24_2024-05-15_18-29-24.gpx,
261,000,2024-05-15_18-37-47_2024-05-15_18-37-47.gpx,
