id,name,type,code,scode,seg_length,full_id,osm_id,osm_type,highway
way/773053326,Rua Doutor João Lacerda,Ciclofaixa,51,0,151,w131145453,131145453,way,secondary
way/773570688,Avenida General Mac Artur,Ciclofaixa,37,0,301,w161784502,161784502,way,residential
way/773570688,Avenida General Mac Artur,Ciclofaixa,37,0,301,w222797084,222797084,way,residential
way/773570688,Avenida General Mac Artur,Ciclofaixa,37,0,301,w222797085,222797085,way,residential
way/773570688,Avenida General Mac Artur,Ciclofaixa,37,0,301,w222797086,222797086,way,residential
way/773570688,Avenida General Mac Artur,Ciclofaixa,37,0,301,w624914204,624914204,way,residential
way/773570688,Avenida General Mac Artur,Ciclofaixa,37,0,301,w775973134,775973134,way,residential
way/773570688,Avenida General Mac Artur,Ciclofaixa,37,0,301,w775973135,775973135,way,residential
way/773570688,Avenida General Mac Artur,Ciclofaixa,37,0,301,w775973136,775973136,way,residential
way/773570688,Avenida General Mac Artur,Ciclofaixa,37,0,301,w305540240,305540240,way,secondary
way/773570688,Avenida General Mac Artur,Ciclofaixa,37,0,301,w616186915,616186915,way,secondary
way/773570688,Avenida General Mac Artur,Ciclofaixa,37,0,301,w161790534,161790534,way,trunk
way/773570688,Avenida General Mac Artur,Ciclofaixa,37,0,301,w305540241,305540241,way,trunk
way/773833908,Primeira Travessa Doutor Luiz Ramos Leal,Ciclovia,379,0,123,w222820922,222820922,way,residential
way/773833908,Primeira Travessa Doutor Luiz Ramos Leal,Ciclovia,379,0,123,w222820979,222820979,way,residential
way/773833908,Primeira Travessa Doutor Luiz Ramos Leal,Ciclovia,379,0,123,w377679152,377679152,way,residential
way/773833908,Primeira Travessa Doutor Luiz Ramos Leal,Ciclovia,379,0,123,w642397263,642397263,way,residential
way/775973132,Avenida Sul,Ciclofaixa,35,0,0.59,w161784502,161784502,way,residential
way/775973132,Avenida Sul,Ciclofaixa,35,0,0.59,w161790510,161790510,way,residential
way/775973132,Avenida Sul,Ciclofaixa,35,0,0.59,w89378769,89378769,way,tertiary
way/775975304,Rua José de Alencar,Ciclofaixa,210,0,199,w129727733,129727733,way,residential
way/775975304,Rua José de Alencar,Ciclofaixa,210,0,199,w316307687,316307687,way,residential
way/775975304,Rua José de Alencar,Ciclofaixa,210,0,199,w316707918,316707918,way,tertiary
way/775975304,Rua José de Alencar,Ciclofaixa,210,0,199,w316707926,316707926,way,tertiary
way/775975304,Rua José de Alencar,Ciclofaixa,210,0,199,w775975304,775975304,way,tertiary
way/775975304,Rua José de Alencar,Ciclofaixa,210,0,199,w775975304,775975304,way,tertiary
way/775975304,Rua José de Alencar,Ciclofaixa,210,0,199,w775975305,775975305,way,tertiary
way/775975305,Rua José de Alencar,Ciclofaixa,210,0,91,w129727733,129727733,way,residential
way/775975305,Rua José de Alencar,Ciclofaixa,210,0,91,w129728589,129728589,way,residential
way/775975305,Rua José de Alencar,Ciclofaixa,210,0,91,w129727073,129727073,way,tertiary
way/775975305,Rua José de Alencar,Ciclofaixa,210,0,91,w129736826,129736826,way,tertiary
way/775975305,Rua José de Alencar,Ciclofaixa,210,0,91,w316707926,316707926,way,tertiary
way/775975305,Rua José de Alencar,Ciclofaixa,210,0,91,w775975304,775975304,way,tertiary
way/776571549,Rua Dez de Novembro,Ciclofaixa,27,0,13,w202051221,202051221,way,secondary
way/777105575,Rua São Nicolau,Ciclofaixa,126,127,93,w136122179,136122179,way,residential
way/777105575,Rua São Nicolau,Ciclofaixa,126,127,93,w777105573,777105573,way,residential
way/777105575,Rua São Nicolau,Ciclofaixa,126,127,93,w777105575,777105575,way,residential
way/777105575,Rua São Nicolau,Ciclofaixa,126,127,93,w777105576,777105576,way,residential
way/777693660,Avenida Lino Jordão,Ciclofaixa,68,69,6,w141711855,141711855,way,tertiary
way/777693660,Avenida Lino Jordão,Ciclofaixa,68,69,6,w762937142,762937142,way,tertiary
way/777734629,Rua Araripina,Ciclorrota,284,0,3,w770284442,770284442,way,residential
way/777734629,Rua Araripina,Ciclorrota,284,0,3,w582585043,582585043,way,secondary
way/777734629,Rua Araripina,Ciclorrota,284,0,3,w582585076,582585076,way,secondary
way/777734629,Rua Araripina,Ciclorrota,284,0,3,w770284441,770284441,way,secondary
way/777734629,Rua Araripina,Ciclorrota,284,0,3,w778269561,778269561,way,secondary
way/778169420,Avenida José Américo de Almeida,Ciclofaixa,193,0,209,w650395918,650395918,way,residential
way/778169420,Avenida José Américo de Almeida,Ciclofaixa,193,0,209,w596236971,596236971,way,tertiary
way/778169420,Avenida José Américo de Almeida,Ciclofaixa,193,0,209,w778169420,778169420,way,tertiary
way/778538501,Estrada do Barbalho,Ciclorrota,112,0,56,w198989505,198989505,way,secondary
way/778538501,Estrada do Barbalho,Ciclorrota,112,0,56,w836834984,836834984,way,secondary
way/778574537,Avenida Agostinho Gomes,Ciclofaixa,365,0,47,w430125750,430125750,way,residential
way/778574537,Avenida Agostinho Gomes,Ciclofaixa,365,0,47,w690900694,690900694,way,residential
way/778574537,Avenida Agostinho Gomes,Ciclofaixa,365,0,47,w778574541,778574541,way,residential
way/778574537,Avenida Agostinho Gomes,Ciclofaixa,365,0,47,w778578010,778578010,way,residential
way/778574539,Avenida Central,Ciclofaixa,365,0,71,w430125750,430125750,way,residential
way/778574539,Avenida Central,Ciclofaixa,365,0,71,w778574537,778574537,way,residential
way/778574539,Avenida Central,Ciclofaixa,365,0,71,w778578010,778578010,way,residential
way/778574541,Avenida Agostinho Gomes,Ciclofaixa,365,0,84,w690900694,690900694,way,residential
way/778574541,Avenida Agostinho Gomes,Ciclofaixa,365,0,84,w778574537,778574537,way,residential
way/778604171,Rua Senador Alberto Pasqualini,Ciclofaixa,203,0,0.01,w778604171,778604171,way,residential
way/783625758,Rua Oscar de Barros,Ciclofaixa,274,275,121,w199698841,199698841,way,residential
way/783625758,Rua Oscar de Barros,Ciclofaixa,274,275,121,w199699061,199699061,way,residential
way/783625758,Rua Oscar de Barros,Ciclofaixa,274,275,121,w379236486,379236486,way,residential
way/783625758,Rua Oscar de Barros,Ciclofaixa,274,275,121,w649785825,649785825,way,residential
way/783625758,Rua Oscar de Barros,Ciclofaixa,274,275,121,w199697128,199697128,way,tertiary
way/783625758,Rua Oscar de Barros,Ciclofaixa,274,275,121,w199698227,199698227,way,tertiary
way/783625758,Rua Oscar de Barros,Ciclofaixa,274,275,121,w723919334,723919334,way,tertiary
way/786325340,Avenida Professor Estevão Francisco da Costa,Ciclofaixa,34,0,149,w161610436,161610436,way,residential
way/786325340,Avenida Professor Estevão Francisco da Costa,Ciclofaixa,34,0,149,w202051912,202051912,way,residential
way/786325340,Avenida Professor Estevão Francisco da Costa,Ciclofaixa,34,0,149,w131144671,131144671,way,tertiary
way/786325340,Avenida Professor Estevão Francisco da Costa,Ciclofaixa,34,0,149,w538805604,538805604,way,tertiary
way/786325343,Rua Amélia,Ciclofaixa,19,0,487,w136019963,136019963,way,residential
way/786325343,Rua Amélia,Ciclofaixa,19,0,487,w133334910,133334910,way,secondary
way/786325343,Rua Amélia,Ciclofaixa,19,0,487,w316614624,316614624,way,secondary
way/786325343,Rua Amélia,Ciclofaixa,19,0,487,w133334858,133334858,way,tertiary
way/786325343,Rua Amélia,Ciclofaixa,19,0,487,w133334860,133334860,way,tertiary
way/786325343,Rua Amélia,Ciclofaixa,19,0,487,w133335857,133335857,way,tertiary
way/786325343,Rua Amélia,Ciclofaixa,19,0,487,w134172138,134172138,way,tertiary
way/786325343,Rua Amélia,Ciclofaixa,19,0,487,w319481727,319481727,way,tertiary
way/786325343,Rua Amélia,Ciclofaixa,19,0,487,w681774129,681774129,way,tertiary
way/792570583,Rua Santos Araújo,Ciclofaixa,206,0,127,w129484794,129484794,way,primary
way/797179314,Rua Acadêmico Hélio Ramos,Ciclorrota,53,0,21,w762960702,762960702,way,residential
way/797179314,Rua Acadêmico Hélio Ramos,Ciclorrota,53,0,21,w762960703,762960703,way,tertiary
way/797179314,Rua Acadêmico Hélio Ramos,Ciclorrota,53,0,21,w797179315,797179315,way,tertiary
way/797179315,Rua Acadêmico Hélio Ramos,Ciclorrota,53,0,21,w204619792,204619792,way,tertiary
way/797179315,Rua Acadêmico Hélio Ramos,Ciclorrota,53,0,21,w797179314,797179314,way,tertiary
way/800702292,Estrada do Bongi,Ciclofaixa,15,0,0.07,w377691647,377691647,way,residential
way/800702292,Estrada do Bongi,Ciclofaixa,15,0,0.07,w762748534,762748534,way,residential
way/800702292,Estrada do Bongi,Ciclofaixa,15,0,0.07,w130921296,130921296,way,secondary
way/800702292,Estrada do Bongi,Ciclofaixa,15,0,0.07,w650426492,650426492,way,secondary
way/800702292,Estrada do Bongi,Ciclofaixa,15,0,0.07,w800702291,800702291,way,secondary
way/800856120,Rua Oscar de Barros,Ciclofaixa,275,275,26,w379236489,379236489,way,residential
way/800856120,Rua Oscar de Barros,Ciclofaixa,275,275,26,w305934821,305934821,way,primary
way/800856120,Rua Oscar de Barros,Ciclofaixa,275,275,26,w800856118,800856118,way,primary
way/800856120,Rua Oscar de Barros,Ciclofaixa,275,275,26,w723919335,723919335,way,tertiary
way/800856120,Rua Oscar de Barros,Ciclofaixa,275,275,26,w783625759,783625759,way,tertiary
way/801721895,Rua Cantora Clara Nunes,Ciclorrota,36,0,379,w131147886,131147886,way,residential
way/801721895,Rua Cantora Clara Nunes,Ciclorrota,36,0,379,w202051331,202051331,way,residential
way/801721895,Rua Cantora Clara Nunes,Ciclorrota,36,0,379,w222816758,222816758,way,residential
way/801721895,Rua Cantora Clara Nunes,Ciclorrota,36,0,379,w222816765,222816765,way,residential
way/801721895,Rua Cantora Clara Nunes,Ciclorrota,36,0,379,w222816770,222816770,way,residential
way/801721895,Rua Cantora Clara Nunes,Ciclorrota,36,0,379,w222816772,222816772,way,residential
way/801721895,Rua Cantora Clara Nunes,Ciclorrota,36,0,379,w222816774,222816774,way,residential
way/801721895,Rua Cantora Clara Nunes,Ciclorrota,36,0,379,w222816785,222816785,way,residential
way/801721895,Rua Cantora Clara Nunes,Ciclorrota,36,0,379,w222816787,222816787,way,residential
way/801721895,Rua Cantora Clara Nunes,Ciclorrota,36,0,379,w232233975,232233975,way,residential
way/801721895,Rua Cantora Clara Nunes,Ciclorrota,36,0,379,w377690584,377690584,way,residential
way/801721895,Rua Cantora Clara Nunes,Ciclorrota,36,0,379,w639870779,639870779,way,residential
way/801721895,Rua Cantora Clara Nunes,Ciclorrota,36,0,379,w645444384,645444384,way,residential
way/801721895,Rua Cantora Clara Nunes,Ciclorrota,36,0,379,w801721895,801721895,way,residential
way/801721895,Rua Cantora Clara Nunes,Ciclorrota,36,0,379,w131147887,131147887,way,tertiary
way/804453471,Ciclovia Norte,Ciclovia,346,0,37,w385480492,385480492,way,residential
way/815012801,Rua Ministro João Alberto,Ciclofaixa,60,0,39,w607122253,607122253,way,residential
way/815012801,Rua Ministro João Alberto,Ciclofaixa,60,0,39,w42509291,42509291,way,tertiary
way/815012801,Rua Ministro João Alberto,Ciclofaixa,60,0,39,w815012801,815012801,way,tertiary
way/815012801,Rua Ministro João Alberto,Ciclofaixa,60,0,39,w836834970,836834970,way,tertiary
way/815828031,Estrada do Arraial,Ciclofaixa,160,0,48,w134179603,134179603,way,secondary
way/815828031,Estrada do Arraial,Ciclofaixa,160,0,48,w134179604,134179604,way,secondary
way/821123750,Rua Conde de Irajá,Ciclofaixa,21,0,266,w131350095,131350095,way,residential
way/821123750,Rua Conde de Irajá,Ciclofaixa,21,0,266,w131350718,131350718,way,residential
way/821123750,Rua Conde de Irajá,Ciclofaixa,21,0,266,w131350996,131350996,way,residential
way/821123750,Rua Conde de Irajá,Ciclofaixa,21,0,266,w540227066,540227066,way,residential
